Number	Accession	A's	T's	G's	C's	N's	Length	GC%
1	EU521893	350	245	225	217	14	1051	42.06
2	EU521806	368	265	260	234	16	1143	43.22
3	EU521894	343	235	216	215	14	1023	42.13
4	EU521895	351	244	228	220	14	1057	42.38
5	EU521896	351	245	230	222	14	1062	42.56
6	EU521897	355	245	230	221	15	1066	42.31
7	EU521937	365	248	236	228	15	1092	42.49
8	EU521938	346	241	224	218	14	1043	42.38
9	EU521939	361	248	234	224	16	1083	42.29
10	EU521940	368	249	238	228	15	1098	42.44
11	EU521986	345	240	218	214	14	1031	41.90
12	EU605970	345	241	222	217	14	1039	42.25
13	EU502138	337	225	209	216	14	1001	42.46
14	EU502139	343	227	202	215	14	1001	41.66
15	EU521927	347	239	225	218	14	1043	42.47
16	EU521928	347	238	225	218	14	1042	42.51
17	EU521929	360	248	236	227	15	1086	42.63
18	EU521930	351	241	227	224	14	1057	42.67
19	EU521931	359	249	237	222	15	1082	42.42
20	EU521932	361	246	233	224	15	1079	42.35
21	EU521933	331	228	200	204	13	976	41.39
22	EU521934	358	246	236	227	15	1082	42.79
23	EU521891	350	244	230	221	14	1059	42.59
24	EU521892	358	249	229	224	15	1075	42.14
25	EU521812	370	263	255	239	16	1143	43.22
26	EU521813	346	233	223	218	14	1034	42.65
27	EU521815	368	264	257	238	16	1143	43.31
28	EU521829	382	266	246	233	16	1143	41.91
29	EU521830	372	252	234	232	15	1105	42.17
30	EU521839	382	269	244	232	16	1143	41.64
31	EU521840	373	257	235	228	15	1108	41.79
32	EU521970	354	244	230	224	15	1067	42.55
33	EU521992	335	228	200	207	13	983	41.40
34	EU521999	350	244	227	220	14	1055	42.37
35	EU522000	376	266	246	237	16	1141	42.33
36	EU522001	373	263	241	231	15	1123	42.03
37	EU521983	346	242	227	220	14	1049	42.61
38	EU521984	277	198	166	183	11	835	41.80
39	EU521985	340	231	208	218	14	1011	42.14
40	EU521898	349	244	230	220	14	1057	42.57
41	EU521900	359	255	232	228	15	1089	42.24
42	EU521906	375	264	243	237	15	1134	42.33
43	EU521913	381	265	244	241	16	1147	42.28
44	EU521914	366	250	237	229	15	1097	42.48
45	EU521915	375	257	248	234	15	1129	42.69
46	EU521916	360	255	231	229	15	1090	42.20
47	EU521917	345	243	224	220	14	1046	42.45
48	EU521918	365	247	236	229	15	1092	42.58
49	EU521935	345	239	225	219	14	1042	42.61
50	EU521936	365	248	236	228	15	1092	42.49
51	EU521964	367	249	237	231	15	1099	42.58
52	EU521998	338	230	213	214	14	1009	42.32
53	EU521994	374	265	248	238	16	1141	42.59
54	EU521995	365	262	240	233	15	1115	42.42
55	EU521996	369	250	236	228	15	1098	42.26
56	EU521997	357	243	227	223	14	1064	42.29
